id	env_medium	consensus_id	consensus_lab	notes
BIOSAMPLE:SAMEA2049981	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2049982	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2049983	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2049984	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2049985	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2049986	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2049987	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2049988	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2049989	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2049990	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050114	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050115	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050116	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050117	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050118	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050119	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050120	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050121	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050122	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050123	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050124	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050125	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050126	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050243	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050244	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050245	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050246	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050247	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050248	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050249	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050250	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050251	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050252	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050253	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050254	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050255	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050256	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050343	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050344	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050345	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050346	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050347	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050348	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050349	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050350	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050351	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050352	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050353	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050438	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050439	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050440	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050441	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050442	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050443	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050444	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050540	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050541	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050542	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050543	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050544	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050545	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050546	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050625	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA2050626	ENVO:soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
