subject_category	subject_label	predicate_id	object_id	object_label	match_type	creator_id	mapping_date	subject_id
env_broad_scale	peat soil	skos:relatedMatch	ENVO:00005774	peat soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:peat%20soil
env_broad_scale	Deyeuxia arundinacea	skos:relatedMatch	NCBITaxon:1767996	Deyeuxia arundinacea	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Deyeuxia%20arundinacea
env_broad_scale	Pasture	skos:relatedMatch	ENVO:00000266	pasture	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Pasture
env_broad_scale	tropical coniferous forest biome	skos:relatedMatch	ENVO:01000210	tropical coniferous forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:tropical%20coniferous%20forest%20biome
env_broad_scale	anthropogenic environment	skos:relatedMatch	ENVO:01000313	anthropogenic environment	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:anthropogenic%20environment
env_broad_scale	temperate coniferous forest biome	skos:relatedMatch	ENVO:01000211	temperate coniferous forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:temperate%20coniferous%20forest%20biome
env_broad_scale	rice paddy	skos:relatedMatch	ENVO:00000296	rice field	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:rice%20paddy
env_broad_scale	tropical broadleaf forest biome	skos:relatedMatch	ENVO:01000200	tropical broadleaf forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:tropical%20broadleaf%20forest%20biome
env_broad_scale	tropical grassland biome	skos:relatedMatch	ENVO:01000192	tropical grassland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:tropical%20grassland%20biome
env_broad_scale	Ria de Aveiro	skos:relatedMatch	GAZ:00146341	Ria de Aveiro	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Ria%20de%20Aveiro
env_broad_scale	biome	skos:relatedMatch	ENVO:00000428	biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:biome
env_broad_scale	dense settlement biome	skos:relatedMatch	ENVO:01000248	dense settlement biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:dense%20settlement%20biome
env_broad_scale	habitat	skos:relatedMatch	ENVO:01000739	habitat	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:habitat
env_broad_scale	tropical desert biome	skos:relatedMatch	ENVO:01000183	tropical desert biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:tropical%20desert%20biome
env_broad_scale	Mediterranean forest	skos:relatedMatch	ENVO:01001791	mediterranean forest	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Mediterranean%20forest
env_broad_scale	Rhizosphere	skos:relatedMatch	ENVO:00005801	rhizosphere	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Rhizosphere
env_broad_scale	Temperate broadleaf and mixed forest	skos:relatedMatch	ENVO:01000389	temperate mixed broadleaf forest	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Temperate%20broadleaf%20and%20mixed%20forest
env_broad_scale	arable soil	skos:relatedMatch	ENVO:00005742	arable soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:arable%20soil
env_broad_scale	area of cropland	skos:relatedMatch	ENVO:01000892	area of cropland	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:area%20of%20cropland
env_broad_scale	beach	skos:relatedMatch	ENVO:00000091	beach	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:beach
env_broad_scale	cold desert	skos:relatedMatch	ENVO:01000382	cold desert	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:cold%20desert
env_broad_scale	contaminated soil	skos:relatedMatch	ENVO:00002116	contaminated soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:contaminated%20soil
env_broad_scale	island	skos:relatedMatch	ENVO:00000098	island	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:island
env_broad_scale	marsh	skos:relatedMatch	ENVO:00000035	marsh	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:marsh
env_broad_scale	mixed forest biome	skos:relatedMatch	ENVO:01000198	mixed forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:mixed%20forest%20biome
env_broad_scale	montane shrubland	skos:relatedMatch	ENVO:01000216	montane shrubland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:montane%20shrubland
env_broad_scale	paddy soil	skos:relatedMatch	ENVO:00005740	paddy field soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:paddy%20soil
env_broad_scale	proteobacteria	skos:relatedMatch	NCBITaxon:1224	Proteobacteria	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:proteobacteria
env_broad_scale	wastewater treatment system	skos:relatedMatch	ENVO:00002043	wastewater treatment plant	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:wastewater%20treatment%20system
