env_package	slot	value	val_count	fraction
host-associated	env_local_scale	microplastic particle [ENVO:01000944]	1	1.3586033557502887e-05
host-associated	env_local_scale	migration path [ENVO:01000931]	1	1.3586033557502887e-05
host-associated	env_local_scale	mushroom environment [ENVO:01000929]	1	1.3586033557502887e-05
host-associated	env_local_scale	nest of bird [ENVO:00005805]	1178	0.0160043475307384
host-associated	env_local_scale	nursing home [ENVO:01000932]	1	1.3586033557502887e-05
host-associated	env_local_scale	obsolete animal-associated habitat [ENVO:00006776]	53	0.000720059778547653
host-associated	env_local_scale	obsolete cultured habitat [ENVO:02000006]	4	5.4344134230011546e-05
host-associated	env_local_scale	obsolete insecta-associated habitat [ENVO:00009004]	6	8.151620134501732e-05
host-associated	env_local_scale	obsolete livestock-associated habitat [ENVO:02000005]	150	0.002037905033625433
host-associated	env_local_scale	obsolete mammalia-associated habitat [ENVO:00009002]	185	0.0025134162081380342
host-associated	env_local_scale	obsolete organic feature [ENVO:01000159]	1490	0.0202431900006793
host-associated	env_local_scale	obsolete organism-associated habitat [ENVO:00002032]	14	0.0001902044698050404
host-associated	env_local_scale	ocean [ENVO:00000015]	8	0.00010868826846002309
host-associated	env_local_scale	organic feature [ENVO:01000159]	11	0.00014944636913253177
host-associated	env_local_scale	organic object formed through microbial activity [ENVO:01000007]	4	5.4344134230011546e-05
host-associated	env_local_scale	petting zoo [ENVO:01000923]	1	1.3586033557502887e-05
host-associated	env_local_scale	planetary subsurface zone [ENVO:01000941]	1	1.3586033557502887e-05
host-associated	env_local_scale	plumbing drain [ENVO:01000924]	1	1.3586033557502887e-05
host-associated	env_local_scale	polar tree-line ecotone [ENVO:01000948]	1	1.3586033557502887e-05
host-associated	env_local_scale	primary microplastic particle [ENVO:01000945]	1	1.3586033557502887e-05
host-associated	env_local_scale	reef [ENVO:00000130]	769	0.01044765980571972
host-associated	env_local_scale	research facility [ENVO:00000469]	367	0.00498607431560356
host-associated	env_local_scale	residential building [ENVO:01000933]	1	1.3586033557502887e-05
host-associated	env_local_scale	restaurant [ENVO:01000934]	1	1.3586033557502887e-05
host-associated	env_local_scale	rumen [UBERON:0007365]	16	0.00021737653692004618
host-associated	env_local_scale	sea [ENVO:00000016]	1	1.3586033557502887e-05
host-associated	env_local_scale	sea coast [ENVO:00000303]	1	1.3586033557502887e-05
host-associated	env_local_scale	secondary microplastic particle [ENVO:01000946]	1	1.3586033557502887e-05
host-associated	env_local_scale	shallow marine sediment [ENVO:03000034]	63	0.0008559201141226819
host-associated	env_local_scale	supragingival dental plaque [UBERON:0016485]	2	2.7172067115005773e-05
host-associated	env_local_scale	time crystal [ENVO:01000939]	1	1.3586033557502887e-05
host-associated	env_local_scale	unidentified [NCBITaxon:32644]	267	0.003627470959853271
host-associated	env_local_scale	unmapped [unmapped]	60271	0.8188438285442565
host-associated	env_local_scale	vegetated hill [ENVO:01000943]	1	1.3586033557502887e-05
host-associated	env_local_scale	venom gland [UBERON:0011579]	46	0.0006249575436451328
host-associated	env_local_scale	woodland [ENVO:00000109]	2	2.7172067115005773e-05
host-associated	env_local_scale	zoological garden [ENVO:00010625]	11	0.00014944636913253177
host-associated	env_medium	Bathymodiolus gill tissue material [ENVO:01001393]	39	0.0007167931775992943
host-associated	env_medium	Brain [FMA:50801]	35	0.0006432759286147512
host-associated	env_medium	Cecum [FMA:14541]	9	0.00016541381021522173
host-associated	env_medium	Chyme [FMA:62961]	8	0.00014703449796908599
host-associated	env_medium	DNA [CHEBI:16991]	2	3.6758624492271496e-05
host-associated	env_medium	Feces [FMA:64183]	23083	0.42424966457755153
host-associated	env_medium	Gut [FMA:45615]	28	0.000514620742891801
host-associated	env_medium	Heart [FMA:7088]	29	0.0005330000551379367
host-associated	env_medium	Intestine [FMA:7199]	115	0.0021136209083056114
host-associated	env_medium	Liver [FMA:7197]	36	0.0006616552408608869
host-associated	env_medium	Lymphoid tissue [FMA:55220]	32	0.0005881379918763439
host-associated	env_medium	Mucus [FMA:66938]	2737	0.05030417761767355
host-associated	env_medium	Peritoneal fluid [FMA:16515]	24	0.000441103493907258
host-associated	env_medium	Prostate [FMA:9600]	21	0.00038596555716885077
host-associated	env_medium	Saliva [FMA:59862]	1089	0.02001507103604183
host-associated	env_medium	Sebum [FMA:61304]	1189	0.021853002260655407
host-associated	env_medium	Spleen [FMA:7196]	24	0.000441103493907258
host-associated	env_medium	Stomach [FMA:7148]	61	0.0011211380470142807
host-associated	env_medium	Uterus [FMA:17558]	13	0.00023893105919976475
host-associated	env_medium	air [ENVO:00002005]	12	0.000220551746953629
host-associated	env_medium	algae [FOODON:03411301]	586	0.01077027697623555
host-associated	env_medium	algal material [ENVO:01001189]	48	0.000882206987814516
host-associated	env_medium	anaerobic sludge [ENVO:00002129]	9	0.00016541381021522173
host-associated	env_medium	animal feed [ENVO:02000047]	3	5.513793673840725e-05
host-associated	env_medium	animal manure [ENVO:00003031]	16	0.00029406899593817197
host-associated	env_medium	anthropogenic environmental material [ENVO:0010001]	123	0.0022606554062746973
host-associated	env_medium	aqueous humour [MA:0001236]	18	0.00033082762043044347
host-associated	env_medium	biofilm [ENVO:00002034]	1726	0.031722692936830305
host-associated	env_medium	biofilm material [ENVO:01000156]	18	0.00033082762043044347
host-associated	env_medium	blank sample [NCBITaxon:2582415]	9	0.00016541381021522173
host-associated	env_medium	blood [MA:0000059]	18	0.00033082762043044347
host-associated	env_medium	blood plasma [UBERON:0001969]	26	0.0004778621183995295
host-associated	env_medium	bodily fluid [UBERON:0006314]	450	0.008270690510761087
host-associated	env_medium	bovine milk [ENVO:00003068]	1507	0.027697623554926575
host-associated	env_medium	breast milk [ENVO:02000031]	70	0.0012865518572295024
host-associated	env_medium	cell culture [OBI:0001876]	4	7.351724898454299e-05
host-associated	env_medium	chicken breast [FOODON:00002703]	199	0.003657483136981014
host-associated	env_medium	clarified rumen fluid [MICRO:0000520]	81	0.0014887242919369957
host-associated	env_medium	clinical samples <bacteria,NCBI:txid226901> [NCBITaxon:226901]	47	0.0008638276755683803
host-associated	env_medium	coastal sea water [ENVO:00002150]	63	0.0011578966715065522
host-associated	env_medium	control [EFO:0001461]	21	0.00038596555716885077
host-associated	env_medium	dental plaque [UBERON:0016482]	2	3.6758624492271496e-05
host-associated	env_medium	egg [UBERON:0007379]	1196	0.021981657446378356
host-associated	env_medium	excreta [UBERON:0000174]	258	0.004741862559503023
host-associated	env_medium	fecal material [ENVO:00002003]	1640	0.030142072083662628
host-associated	env_medium	feces [ENVO:00002003]	100	0.001837931224613575
host-associated	env_medium	gill tissue material [ENVO:01001391]	37	0.0006800345531070227
host-associated	env_medium	holothurian digestive tract contents [ENVO:01001188]	2	3.6758624492271496e-05
host-associated	env_medium	intestine environment [ENVO:2100002]	3775	0.06938190372916246
host-associated	env_medium	lumen [UO:0000118]	38	0.0006984138653531585
host-associated	env_medium	material entity in digestive tract [UBERON:0035118]	107	0.0019665864103365254
host-associated	env_medium	microbial mat material [ENVO:01000157]	48	0.000882206987814516
host-associated	env_medium	obsolete Polar Domain (100) [ENVO:00003000]	5	9.189656123067875e-05
host-associated	env_medium	organic material [ENVO:01000155]	5009	0.09206197504089397
host-associated	env_medium	organic waste material [ENVO:00002873]	6	0.0001102758734768145
host-associated	env_medium	rumen [UBERON:0007365]	27	0.0004962414306456652
host-associated	env_medium	sea water [ENVO:00002149]	93	0.0017092760388906247
host-associated	env_medium	shallow marine sediment [ENVO:03000034]	19	0.00034920693267657927
host-associated	env_medium	skin of external ear [UBERON:0001459]	37	0.0006800345531070227
host-associated	env_medium	soil [ENVO:00001998]	266	0.004888897057472109
host-associated	env_medium	sputum [MA:0002536]	30	0.0005513793673840724
host-associated	env_medium	sterile water [ENVO:00005791]	2	3.6758624492271496e-05
host-associated	env_medium	tissue [MA:0003002]	1	1.8379312246135748e-05
host-associated	env_medium	unmapped [unmapped]	8007	0.14716315315480893
host-associated	env_medium	venom [CHEBI:78505]	46	0.0008454483633222445
host-associated	env_medium	water [CHEBI:15377]	28	0.000514620742891801
host-associated	env_medium	wood [ENVO:00002040]	2	3.6758624492271496e-05
host-associated	experimental_factor	diet [EFO:0002755]	3	0.0024509803921568627
host-associated	experimental_factor	genotype [EFO:0000513]	37	0.03022875816993464
